X,Y,Calc_RA,Calc_Dec,RA_Center,Dec_Center,X_Center,Y_Center,Cat_Obj_RA,Cat_Obj_Dec
246.02857087718056,-74.64951522456694,356.5966381196086,12.829515924202095,356.59520236182095,12.82987836840047,245.59571341805122,-78.39703493735249,0.0,0.0
245.1606320463937,-74.64950547963706,356.59668511331336,12.829842316572659,356.59520236182095,12.82987836840047,245.59571341805122,-78.39703493735249,0.0,0.0
245.1629095038306,-82.14456439506793,356.5937665853257,12.830240812598845,356.59520236182095,12.82987836840047,245.59571341805122,-78.39703493735249,0.0,0.0
364.5523981386103,40.88983381743704,356.6352012801891,12.778775558646103,356.6372509038795,12.778661484904603,364.1174790699407,46.094276504010196,0.0,0.0
364.55228199375773,51.29871919058336,356.63925339636444,12.778220353484667,356.6372509038795,12.778661484904603,364.1174790699407,46.094276504010196,0.0,0.0
363.68256000127116,51.29871568044308,356.63930052756984,12.778547408462542,356.6372509038795,12.778661484904603,364.1174790699407,46.094276504010196,0.0,0.0
363.6826697808499,40.88983830729676,356.63524840965584,12.779102616324538,356.6372509038795,12.778661484904603,364.1174790699407,46.094276504010196,0.0,0.0
256.53557778271914,-148.60189402673126,356.5672736944803,12.82950357249386,356.5693915202421,12.82937963085794,256.10326130244556,-143.22305082192167,0.0,0.0
256.5387104376898,-137.84418736204188,356.5714624037567,12.828929355340236,356.5693915202421,12.82937963085794,256.10326130244556,-143.22305082192167,0.0,0.0
255.670888750318,-137.84420861711206,356.57150934600384,12.829255965040096,356.5693915202421,12.82937963085794,256.10326130244556,-143.22305082192167,0.0,0.0
255.6678121672013,-148.60191428180144,356.56732062873607,12.829829906375643,356.5693915202421,12.82937963085794,256.10326130244556,-143.22305082192167,0.0,0.0
245.07055984717144,121.96501448044305,356.67324500832666,12.819386615484076,356.6763159098866,12.819132531882428,244.63512891607323,129.7914717056535,0.0,0.0
245.06809275940162,137.61793418593405,356.6793396928967,12.818551656811302,356.6763159098866,12.819132531882428,244.63512891607323,129.7914717056535,0.0,0.0
244.19969798497502,137.61792893086394,356.67938681144665,12.818878206542824,356.6763159098866,12.819132531882428,244.63512891607323,129.7914717056535,0.0,0.0
244.2022044260349,121.96500922537292,356.6732921169646,12.819713406953554,356.6763159098866,12.819132531882428,244.63512891607323,129.7914717056535,0.0,0.0
308.1475618144286,-129.2037888666511,356.5720340767322,12.809057680684269,356.5741548990858,12.808933002108619,307.7159552175307,-123.8168485343064,0.0,0.0
308.15208498963625,-118.42988794689157,356.57622866212546,12.808482001882119,356.5741548990858,12.808933002108619,307.7159552175307,-123.8168485343064,0.0,0.0
307.2822215198833,-118.42989845703188,356.5762757214394,12.808809122198731,356.5741548990858,12.808933002108619,307.7159552175307,-123.8168485343064,0.0,0.0
307.27982544542516,-129.20380912172124,356.57208101179106,12.809384002335118,356.5741548990858,12.808933002108619,307.7159552175307,-123.8168485343064,0.0,0.0
257.38879173074156,92.92725364885992,356.6612708740919,12.81630421892901,356.66336144057175,12.816184181167243,256.9544033763059,98.23587058036293,0.0,0.0
257.38955163368587,103.54446802200621,356.66540458975237,12.8157371623936,356.66336144057175,12.816184181167243,256.9544033763059,98.23587058036293,0.0,0.0
256.51999038714405,103.54448751186594,356.66545200705167,12.816064151850988,356.66336144057175,12.816184181167243,256.9544033763059,98.23587058036293,0.0,0.0
256.5192551189259,92.92727313871963,356.66131804018437,12.816631199940886,356.66336144057175,12.816184181167243,256.9544033763059,98.23587058036293,0.0,0.0
289.4640246060252,146.76759665695616,356.68049260593864,12.801365140405808,356.68337502127275,12.801136234878317,289.02939776055655,154.1108384630884,0.0,0.0
289.46433845915544,161.45407577936092,356.68621024676435,12.800580339703357,356.68337502127275,12.801136234878317,289.02939776055655,154.1108384630884,0.0,0.0
288.59480322647136,161.45408026922067,356.68625743660687,12.800907571576879,356.68337502127275,12.801136234878317,289.02939776055655,154.1108384630884,0.0,0.0
288.5944570619577,146.76760114681585,356.6805397901811,12.80169213005328,356.68337502127275,12.801136234878317,289.02939776055655,154.1108384630884,0.0,0.0
